open,close,high,low,volume,timestamp
5712.0,5876.73,5990.0,5400.0,1649.3563752899997,1508976000
5869.7,5695.71,5948.52,5669.93,443.4067652,1509062400
5696.78,5701.63,5791.8,5637.63,396.83532861000003,1509148800
5703.21,6138.86,6198.49,5663.34,177.59990252,1509235200
6138.27,6115.19,6215.8,6041.69,202.44220159999992,1509321600
6115.47,6436.53,6443.0,6104.01,268.27684366000005,1509408000
6420.86,6723.95,6743.4,6344.0,382.2372127699999,1509494400
6733.82,7033.85,7100.0,6705.0,1384.2035153299998,1509580800
7032.42,7149.35,7322.9,6957.11,2535.2157537,1509667200
7143.67,7412.85,7450.56,6967.41,2885.147537110001,1509753600
7411.43,7394.64,7542.06,7364.0,1586.86309171,1509840000
7394.0,7008.0,7407.97,7000.0,977.1072218,1509926400
7008.0,7072.51,7220.0,6969.02,2110.2965308499997,1510012800
7077.39,7388.71,7685.32,7040.08,5322.12986179,1510099200
7388.71,7097.67,7420.72,7038.05,3105.423472209999,1510185600
7105.07,6531.32,7287.67,6301.0,5045.65425036,1510272000
6531.32,6216.11,6777.92,6040.64,4940.72877402,1510358400
6209.63,5897.37,6500.0,5205.0,10333.31791906,1510444800
5893.69,6446.63,6730.31,5821.4,6611.593454920001,1510531200
6450.38,6561.99,6642.18,6331.0,4341.9837271999995,1510617600
6567.14,7260.73,7286.0,6567.14,5424.9588056,1510704000
7265.78,7794.63,7839.0,7111.11,7511.928601459999,1510790400
7794.64,7684.7,7950.0,7508.08,7599.62436691,1510876800
7692.91,7781.89,7817.1,7400.0,5781.99242312,1510963200
7774.62,8032.39,8119.94,7649.0,5534.523376969999,1511049600
8032.39,8200.01,8285.0,7950.36,5251.58034031,1511136000
8204.62,8146.0,8399.0,7859.51,5920.880140350001,1511222400
8145.58,8246.24,8396.98,8070.93,5354.266046979999,1511308800
8245.88,8130.0,8287.04,8070.0,7616.52549403,1511395200
8130.0,8139.68,8412.99,7974.28,8146.4160160599995,1511481600
8141.09,8673.74,8690.0,8126.0,6263.8929324,1511568000
8679.46,9206.43,9399.0,8655.23,6769.072746410001,1511654400
9206.43,9735.37,9741.41,9204.0,6915.87636214,1511740800
9735.37,9927.63,9942.36,9596.22,7417.154179859999,1511827200
9920.98,9870.0,11296.0,9092.0,11515.144237669998,1511913600
9870.0,9819.92,10666.44,8860.88,10205.852935740004,1512000000
9821.17,10766.86,10828.25,9438.82,7672.288427600002,1512086400
10764.36,10931.57,11381.0,10695.51,7030.393644990001,1512172800
10931.75,11206.17,11788.9,10519.27,6496.22413382,1512259200
11216.49,11546.72,11546.72,10801.91,6696.151493440001,1512345600
11546.72,11658.97,11870.2,11460.0,8369.458682769999,1512432000
11661.8,13604.71,13661.66,11641.2,8545.035883929999,1512518400
13601.51,16706.95,16770.64,13435.72,13832.933166839997,1512604800
16718.79,15898.51,17899.0,13981.2,10263.945970780002,1512691200
15877.2,14753.13,16150.0,13000.0,7360.62682054,1512777600
14735.27,14901.0,15574.97,12619.01,8370.89734745,1512864000
14902.0,16478.63,17286.85,14902.0,6535.69014808,1512950400
16475.0,16147.0,17000.0,15694.91,10440.49581694,1513036800
16147.0,15985.5,16550.0,14999.0,7910.165319069998,1513123200
